rel_filepath,abs_filepath,note_exists,n_backlinks,n_wikilinks,n_tags,n_embedded_files,modified_time
030 🚀 projects/30.01 💍 jewellery/learning.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.01 💍 jewellery/learning.md,True,0,0.0,0.0,0.0,2024-12-11 17:29:14.000000000
000 🕳 origin/00.00 templates/dump_topic-tree.md,/home/leo/library/areas/obsidian/000 🕳 origin/00.00 templates/dump_topic-tree.md,True,0,0.0,0.0,0.0,2025-04-27 13:26:42.000000000
050 🛠 craft/50.02 💜 dev/front-end/Tamagui.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/front-end/Tamagui.md,True,3,0.0,0.0,0.0,2025-04-26 17:57:44.000000000
070 🌱 personal/70.03 🌱 bedroom redecoration/furniture.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.03 🌱 bedroom redecoration/furniture.md,True,0,0.0,1.0,0.0,2025-03-30 20:21:40.000000000
050 🛠 craft/50.01 ✏ design/portfolio/portfolio references 25'.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.01 ✏ design/portfolio/portfolio references 25'.md,True,2,2.0,0.0,1.0,2025-04-15 20:52:18.000000000
,,False,1,,,,
070 🌱 personal/70.02 🌱 concepts/landshark - generative money.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.02 🌱 concepts/landshark - generative money.md,True,0,0.0,0.0,0.0,2025-05-01 10:11:00.000000000
050 🛠 craft/50.01 ✏ design/concepts/AI + design systems.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.01 ✏ design/concepts/AI + design systems.md,True,2,1.0,0.0,0.0,2025-03-05 22:02:00.000000000
030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/lyrics.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/🌠 EP Release/lyrics.md,True,0,0.0,0.0,0.0,2025-04-17 17:43:44.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/inferred destiny.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/inferred destiny.md,True,0,0.0,0.0,0.0,2025-03-14 22:04:16.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/mycelium brick.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/mycelium brick.md,True,0,1.0,0.0,0.0,2025-04-23 20:23:06.000000000
050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌱🌱 concept.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.03 🎮 game_dev/50.03 🌱 plantamata/🌱🌱 concept.md,True,1,0.0,0.0,0.0,2024-08-24 12:02:46.000000000
020 ⭐ concepts/20.00 ⭐ concept cauldron/incentivos.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.00 ⭐ concept cauldron/incentivos.md,True,1,0.0,0.0,0.0,2025-04-26 17:14:28.000000000
050 🛠 craft/50.02 💜 dev/languages/Python.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/languages/Python.md,True,1,0.0,0.0,0.0,2024-08-28 10:43:54.000000000
070 🌱 personal/70.01 🌱 notes/viajes.md,/home/leo/library/areas/obsidian/070 🌱 personal/70.01 🌱 notes/viajes.md,True,0,0.0,0.0,0.0,2025-03-02 20:01:36.000000000
050 🛠 craft/50.01 ✏ design/portfolio/portfolio concept.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.01 ✏ design/portfolio/portfolio concept.md,True,1,2.0,0.0,0.0,2025-04-17 17:43:24.000000000
098 🌾 compost/🌾 starred ⭐/dump_real-life-tech-tree-v01 ⭐.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 starred ⭐/dump_real-life-tech-tree-v01 ⭐.md,True,7,9.0,4.0,0.0,2025-05-03 17:56:47.051686049
050 🛠 craft/50.01 ✏ design/portfolio/AI design portfolio.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.01 ✏ design/portfolio/AI design portfolio.md,True,0,0.0,0.0,0.0,2025-04-11 22:35:06.000000000
040 📚 library/40.01 📚 books/Reality Transurfing.md,/home/leo/library/areas/obsidian/040 📚 library/40.01 📚 books/Reality Transurfing.md,True,1,0.0,0.0,0.0,2025-04-21 20:33:38.000000000
050 🛠 craft/50.02 💜 dev/front-end/blueprintjs.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/front-end/blueprintjs.md,True,0,2.0,0.0,0.0,2025-05-02 20:16:51.889323235
020 ⭐ concepts/20.01 ⭐ economics & money/Reading List for Economic Strategy.md,/home/leo/library/areas/obsidian/020 ⭐ concepts/20.01 ⭐ economics & money/Reading List for Economic Strategy.md,True,0,1.0,0.0,0.0,2024-10-02 13:52:00.000000000
098 🌾 compost/🌾 dailies/2025-05-06_daily.md,/home/leo/library/areas/obsidian/098 🌾 compost/🌾 dailies/2025-05-06_daily.md,True,0,0.0,0.0,0.0,2025-05-06 19:38:00.163482666
050 🛠 craft/50.01 ✏ design/concepts/data-driven design systems.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.01 ✏ design/concepts/data-driven design systems.md,True,3,0.0,0.0,0.0,2025-03-05 21:56:32.000000000
050 🛠 craft/50.02 💜 dev/algorithms/genetic algorithms.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/algorithms/genetic algorithms.md,True,1,0.0,0.0,0.0,2024-08-24 20:50:30.000000000
030 🚀 projects/30.00 🎸 inhaven/guitars/futura guitarra.md,/home/leo/library/areas/obsidian/030 🚀 projects/30.00 🎸 inhaven/guitars/futura guitarra.md,True,1,2.0,0.0,0.0,2024-11-16 15:48:20.000000000
050 🛠 craft/50.02 💜 dev/tech/meilisearch.md,/home/leo/library/areas/obsidian/050 🛠 craft/50.02 💜 dev/tech/meilisearch.md,True,1,1.0,0.0,0.0,2025-04-23 20:45:56.000000000
